name,ingredients,instructions
Aloo Pulao,"rice, potato, onion, cumin, green chili, salt, turmeric, oil","1. Wash and soak 1 cup of rice for 20 minutes.
2. Peel and dice 2 potatoes.
3. Slice 1 onion and 2 green chilies.
4. Heat 2 tbsp oil in a pan. Add cumin seeds.
5. Add onion and chilies. Sauté until golden.
6. Add potatoes, turmeric, salt. Cook for 5 minutes.
7. Add rice and 2 cups water. Mix well.
8. Cover and cook on low heat for 15 minutes."
Veg Fried Rice,"rice, carrot, capsicum, beans, soy sauce, pepper, salt, oil","1. Cook 1 cup rice and cool it.
2. Finely chop carrot, capsicum, and beans.
3. Heat 2 tbsp oil in a wok. Add all veggies.
4. Stir fry for 4-5 minutes on high flame.
5. Add cooked rice, 2 tsp soy sauce, salt and pepper.
6. Mix and fry everything for 2-3 minutes."
Onion Pakoda,"onion, gram flour, chili powder, coriander, salt, oil","1. Thinly slice 2 onions.
2. Mix with 1 cup gram flour, 1 tsp chili powder, 1 tsp salt, chopped coriander.
3. Add little water to form a thick batter.
4. Heat oil in a pan.
5. Drop spoonfuls into oil and deep fry till golden."
Potato Curry,"potato, tomato, onion, mustard seeds, salt, turmeric, oil","1. Boil and peel 3 potatoes, cut into cubes.
2. Heat 2 tbsp oil. Add mustard seeds.
3. Add chopped onion and cook till translucent.
4. Add chopped tomatoes, turmeric, and salt.
5. Cook until tomatoes are mushy.
6. Add potatoes. Cook for 5 minutes. Add water if needed."
Tomato Rice,"rice, tomato, onion, mustard seeds, curry leaves, salt, turmeric, oil","1. Cook 1 cup rice and keep aside.
2. Heat 2 tbsp oil. Add mustard seeds and curry leaves.
3. Add chopped onions and sauté till golden.
4. Add chopped tomatoes, salt and turmeric.
5. Cook till tomatoes soften.
6. Mix in the rice. Stir fry for 2 minutes."
Masala Khichdi,"rice, moong dal, onion, ginger, turmeric, cumin, garam masala, oil","1. Wash 1/2 cup rice and 1/4 cup moong dal. Soak for 30 mins.
2. Heat oil. Add cumin seeds, chopped onion, ginger.
3. Sauté till golden. Add turmeric, garam masala.
4. Add soaked rice and dal. Mix well.
5. Add 3 cups water. Cook on low heat for 20 mins."
Paneer Butter Masala,"paneer, tomato, onion, cream, butter, garam masala, kasuri methi","1. Blend tomatoes and onions to make smooth paste.
2. Heat butter in pan. Add the paste and cook for 5 mins.
3. Add garam masala, salt and 1/2 cup water.
4. Add paneer cubes. Simmer for 5 mins.
5. Add cream and crushed kasuri methi. Mix well."
Chana Masala,"chickpeas, tomato, onion, ginger, garlic, garam masala, amchur, oil","1. Pressure cook 1 cup chickpeas with salt. Set aside.
2. Heat oil. Add chopped onion, ginger, garlic. Sauté.
3. Add tomato puree, garam masala, amchur powder.
4. Cook for 5 mins. Add boiled chickpeas.
5. Mix and cook for another 5 mins."
Palak Paneer,"paneer, spinach, onion, garlic, ginger, garam masala, cream, butter, salt, oil","1. Blanch 500g spinach in boiling water for 2 minutes. Blend to smooth puree.
2. Cut 200g paneer into cubes.
3. Heat 2 tbsp oil and 1 tbsp butter in a pan. Add chopped onion, garlic, ginger.
4. Sauté until golden brown.
5. Add spinach puree, garam masala, and salt.
6. Cook for 5 minutes on medium heat.
7. Add paneer cubes and 2 tbsp cream.
8. Simmer for 3 minutes. Garnish with cream."
Dal Tadka,"toor dal, onion, tomato, garlic, ginger, turmeric, cumin, mustard seeds, red chili, garam masala, cilantro, oil","1. Wash and pressure cook 1 cup toor dal with turmeric and salt for 5 whistles.
2. Heat 2 tbsp oil in a tadka pan. Add mustard seeds and cumin.
3. Add chopped onion, garlic, and ginger. Fry until golden.
4. Add chopped tomato and red chili. Cook until soft.
5. Add garam masala and 1/2 cup water.
6. Pour the tadka over cooked dal.
7. Garnish with fresh cilantro."
